loop,trig_cnt,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,0,0.12237,-0.09932,-9.79393,10.07163,-14.52184,-0.88451
1,0,0.12273097640765214,-0.09361370407241287,-9.787542390985122,10.358395873726675,-13.759907254619069,-0.1567337507285651
2,0,0.12827687057811768,-0.08408877879849598,-9.747901350583733,9.781284035479086,-13.214470168387594,-0.13288211489016943
3,0,0.13150011006329645,-0.06984365078057608,-9.722319514218356,10.719324491639112,-12.973694083084874,0.6349797552160777
4,0,0.13243718806842428,-0.053147021538137086,-9.677876501906503,11.172291435750104,-12.897959778554075,1.2849692330141957
5,0,0.13896890363002376,-0.04401096647456016,-9.632298687897409,12.734467893941378,-12.30022593072063,1.750758073139702
6,0,0.14995384515009746,-0.042079153065060756,-9.543795236239863,13.520746730443348,-12.015440423596083,2.036685316641375
7,0,0.15809521497537085,-0.03607423807387542,-9.47414705295216,13.93823704736819,-11.162022768047875,2.5147482908642673
8,0,0.15786447336317125,-0.02362551529829277,-9.398827998022215,15.573793169421162,-10.750841291143415,3.1286930705502436
9,0,0.15644818520961606,-0.016239719189061357,-9.316301141874584,16.640960591951902,-10.220320410704943,4.231709537969452
10,0,0.1598599656292912,-0.011217194050884147,-9.241497473061196,17.733090985934716,-9.241923641734788,4.710553220174581
11,0,0.16702929998194196,-0.0013232863480429902,-9.17635976485473,18.87775411062154,-8.273492396015937,4.8170906926429256
12,0,0.16253758209467056,0.009865377342176195,-9.126915615508507,19.789890308067765,-7.3273893927804155,5.424126144404015
13,0,0.17052984309771088,0.022646481596148647,-9.053846432684027,20.2859459262753,-6.286826036152512,6.054439685317444
14,0,0.17300890401517932,0.02819345028377286,-8.976031768619164,20.649055698215363,-5.806706846411417,6.516243333399001
15,0,0.17863179191759107,0.038340604610787164,-8.889915762156699,21.829098165491843,-5.027904586648411,7.079050176928062
16,0,0.1850572217174021,0.051923691519770325,-8.814929305341552,22.276977093623366,-3.9945810316920127,7.786855543443129
17,0,0.1922535083166081,0.06464543447586396,-8.76542550153937,23.241504359087973,-3.151423566811451,7.742836611659569
18,0,0.2023910864815095,0.07854292230587756,-8.69185671636269,24.279547155667778,-2.7514010901549355,8.225658905621096
19,0,0.21426958019147144,0.08826229041955852,-8.622452017609017,25.16615848540879,-1.9728583882681225,8.73996209697184
20,0,0.21882372065951633,0.09569642253251036,-8.577788474197822,25.080922994404368,-0.6127020601032458,9.668763454853472
21,0,0.230512729443545,0.11304087932491143,-8.517873926998307,25.964171783789254,-0.025550730138235944,10.102355058841916
22,0,0.23073200959607096,0.11771662840976452,-8.462980668535508,26.664104611799047,0.5775262741259752,10.632836172114747
23,0,0.23676055236707522,0.13128393185267193,-8.407959098131029,27.73163027535435,1.0741781091632243,11.06771803552975
24,0,0.24494813022840187,0.1331165608199825,-8.341068711990815,28.741517888383314,1.5814173499552808,11.789231455163389
25,0,0.24823083289098366,0.14436741592392796,-8.27507249217651,29.895406971821316,2.1163778478913757,12.364880901750606
26,0,0.24760430385651752,0.142235643231372,-8.235809137997894,30.426102779283852,2.5187714340111795,12.53815414299811
27,0,0.24711559825236182,0.1528938557769486,-8.191672208870482,31.67313455955218,3.5592461418158443,12.64563328031985
28,0,0.24976062341506544,0.15600067793255537,-8.154283131051326,32.69427118135582,4.236350353725314,12.949753924296502
29,0,0.25577037298476346,0.16161836062273205,-8.122459084943834,33.948711726980086,4.870282214735545,13.423731743417987
30,0,0.25517503133327085,0.16777686660792152,-8.063252001122962,34.90742162255685,5.039653728215187,13.239085917696663
