loop,trig_cnt,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps,time_s,person_id,exercise_label,repetition_index
440,0,-0.0770924247551417,0.1816996223466565,-9.437265156285886,4.382634933104001,21.76951748425567,-8.065588037611324,4.4,athlete_01,deep-squat,2
441,0,-0.0763125185509388,0.1773345277242851,-9.460144090510276,3.5250350886843993,21.488527834458285,-7.309581989926891,4.41,athlete_01,deep-squat,2
442,0,-0.0778251486985995,0.1687871495950061,-9.492270012925289,2.128062346300564,20.93847680519637,-6.905173190182764,4.42,athlete_01,deep-squat,2
443,0,-0.0737981942194031,0.1739562481793732,-9.532508121713557,1.0916172395751462,20.502618876561304,-6.3096426343765275,4.43,athlete_01,deep-squat,2
444,0,-0.0758138782993371,0.1679161690385536,-9.551102441583938,-0.1353958932964041,19.808647977846793,-5.653291272608755,4.44,athlete_01,deep-squat,2
445,0,-0.0770512675821686,0.1746632797078544,-9.547721588763803,-1.398111473578636,18.9164845121698,-5.101408243099277,4.45,athlete_01,deep-squat,2
446,0,-0.087368674328532,0.169463001056468,-9.593067973705052,-2.4902344850855034,18.021515343182735,-4.687968757153345,4.46,athlete_01,deep-squat,2
447,0,-0.0927740750657102,0.1643775364860415,-9.62101185697335,-3.59080027780783,17.03916577916185,-4.100514614108382,4.47,athlete_01,deep-squat,2
448,0,-0.095335794328922,0.1620258023265195,-9.638974172832564,-4.636718594992873,16.74661812021788,-3.172378621548418,4.48,athlete_01,deep-squat,2
449,0,-0.1006773381004361,0.159803573631108,-9.670930344939071,-5.828937944744492,16.327314589952465,-2.3511600142408455,4.49,athlete_01,deep-squat,2
450,0,-0.1038191863649998,0.1571276689965735,-9.674465918816098,-6.7821815057880235,15.664627744264456,-1.8568087969874545,4.5,athlete_01,deep-squat,2
451,0,-0.1062075625341948,0.1510992030603193,-9.706275848626229,-7.920937402204741,14.775720293812585,-1.4522525450599255,4.51,athlete_01,deep-squat,2
452,0,-0.1066049802191965,0.147862558766818,-9.751735962683926,-8.783676418659548,14.135972015753293,-1.123392866984923,4.52,athlete_01,deep-squat,2
453,0,-0.1119969206264796,0.1383570318643657,-9.757146792803807,-9.888045149574676,13.329710407517847,-0.4165669074172728,4.53,athlete_01,deep-squat,2
454,0,-0.1178426058902451,0.1278774727355371,-9.806312068114998,-11.125454309957531,12.459255147486523,0.2211724804214279,4.54,athlete_01,deep-squat,2
455,0,-0.1251236659645397,0.1330584469320066,-9.853589920830654,-12.29255455102079,11.907062807841069,0.8835612049282074,4.55,athlete_01,deep-squat,2
456,0,-0.1315032268874042,0.1302116466709258,-9.87677609987466,-12.198917139150325,11.363412542104369,1.4855548173778506,4.56,athlete_01,deep-squat,2
457,0,-0.1270129608172517,0.1245766742618422,-9.90894935338132,-13.45154181619357,10.417962130165808,2.44707528712237,4.57,athlete_01,deep-squat,2
458,0,-0.1301199969194388,0.1116086149226928,-9.94342634074932,-14.055438178015754,10.221346616803435,3.2075054892142303,4.58,athlete_01,deep-squat,2
459,0,-0.1288243075038993,0.1139373633933964,-9.993473845282526,-15.51554754279914,9.892485965348737,3.909880596240716,4.59,athlete_01,deep-squat,2
460,0,-0.1382995061079041,0.1083440546607607,-10.0169794228376,-16.633260179202527,8.830075988407351,4.762112284160461,4.6,athlete_01,deep-squat,2
461,0,-0.1490619803833305,0.0965814699631707,-10.058620938593188,-17.73043956041872,7.69130873816015,5.17995029697558,4.61,athlete_01,deep-squat,2
462,0,-0.1534816750229514,0.0910373815423244,-10.084797480201075,-18.613861291923683,6.552705780048971,5.427025428872013,4.62,athlete_01,deep-squat,2
463,0,-0.1468187497745853,0.0908969637416162,-10.1307592243886,-19.88679049678995,6.367435049988228,5.949703625907823,4.63,athlete_01,deep-squat,2
464,0,-0.1425877357920926,0.0869341208136504,-10.173163380128171,-20.764457897076294,5.603779885361136,6.3340804783797555,4.64,athlete_01,deep-squat,2
465,0,-0.1433460884661945,0.0870574454596576,-10.19934411921396,-21.46716471802678,5.043040117348446,6.811358110958358,4.65,athlete_01,deep-squat,2
466,0,-0.1497967874396225,0.0639675189124231,-10.234981785381988,-21.98040510580713,4.538184701040985,7.491036498428373,4.66,athlete_01,deep-squat,2
467,0,-0.1519395081489387,0.0666096943552289,-10.272059133955544,-23.315392654186343,3.4995468766573494,8.196476077801616,4.67,athlete_01,deep-squat,2
