Timestamp,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyro_X,Gyro_Y,Gyro_Z,time_s,acc_mag,gyro_mag,acc_sq,gyro_sq,Energy,is_active
2025-11-22T17:45:16.480769,-0.0001607630044429,-0.0277162432340741,-9.791692127794205,-0.0428365026235646,-0.0531981442863744,0.0158428313734398,16.480769,0.02893504318887033,0.07011421980211871,0.0008372367243417913,0.004916003818459815,0.0043564966777133686,0
2025-11-22T17:45:16.490385,0.0001499205073785,-0.0266841955763654,-9.790285965752414,-0.0432826671630531,-0.0522081993519957,0.0168272927830038,16.490385,0.02839773285104887,0.06987305016048956,0.0008064312310795401,0.00488224313873029,0.004347926760663635,0
2025-11-22T17:45:16.5,0.0003471506043334,-0.0257369715852059,-9.789027412371452,-0.0434447999362224,-0.0511489779456003,0.0179848067295875,16.5,0.027980527142746514,0.06947749174717313,0.0007829098991859744,0.00482712185947851,0.004338914728534608,0
2025-11-22T17:45:16.509615,0.0004350431543025,-0.0248976310332024,-9.787952047961644,-0.0433183013008798,-0.0500544194915572,0.0192887424642612,16.509615,0.027662871180160014,0.06894908066162433,0.0007652344419301275,0.0047539757240831785,0.0043288795717692655,0
2025-11-22T17:45:16.519231,0.0004197874089284,-0.0241850500396883,-9.787089890055382,-0.0429022344311885,-0.0489549294807824,0.0207053456526723,16.519231,0.02741831150295472,0.06830738011557513,0.0007517638056730591,0.0046658981782536696,0.004317152850510413,0
2025-11-22T17:45:16.528846,0.0003093562989536,-0.0236133022176502,-9.786464411387184,-0.0421985768735094,-0.0478765953446631,0.0221946534573382,16.528846,0.027219403043365765,0.06756841654232718,0.0007408959020371895,0.004565490914037433,0.004303037679647701,0
2025-11-22T17:45:16.538462,0.0001131910940921,-0.0231913231364041,-9.786091829970951,-0.0412117199928699,-0.0468407520473097,0.0237117571460023,16.538462,0.027042327462661928,0.06674360901299278,0.0007312874745978395,0.0044547093440792515,0.004285867570148131,0
2025-11-22T17:45:16.548077,-0.0001581436377479,-0.0229228510604882,-9.785980673887536,-0.0399482559929731,-0.0458638986645109,0.0252083716375407,16.548077,0.026870497107405928,0.06583936784481609,0.0007220236147991103,0.0043348223582050024,0.00426505928076833,0
2025-11-22T17:45:16.557692,-0.0004933283972262,-0.0228066120867311,-9.786131623789547,-0.0384170438225506,-0.0449579256424046,0.0266346513189035,16.557692,0.026696756104381106,0.06485745126823379,0.0007127167864968099,0.004206488985011321,0.00424015476655148,0
2025-11-22T17:45:16.567308,-0.0008806627085597,-0.0228367045709891,-9.78653762984427,-0.0366295176709743,-0.0441305758709428,0.0279411741806027,16.567308,0.026524065538276517,0.06379606967596073,0.0007035260526787879,0.004069938506100036,0.004210848775731988,0
2025-11-22T17:45:16.576923,-0.0013084196530497,-0.0230031390946692,-9.787184284460464,-0.0346001854582633,-0.0433860427591305,0.0290810011079352,16.576923,0.026364728995146317,0.06265162540176467,0.0006950989349875089,0.0039252261654830435,0.0041770003916788865,0
2025-11-22T17:45:16.586538,-0.0017651538974069,-0.0232924979045312,-9.788050411218126,-0.0323472543702778,-0.0427256136860811,0.0300117045845249,16.586538,0.02623830975825269,0.061420886856316956,0.0006884488989700184,0.003772525342216489,0.0041386285904061295,0
2025-11-22T17:45:16.596154,-0.0022399407254405,-0.0236886799679826,-9.789108813059167,-0.0298933134483999,-0.0421482902987567,0.030697254558432,16.596154,0.026168470457005478,0.06010332770702242,0.0006847888460591684,0.003612410001457729,0.004095893470058426,0
2025-11-22T17:45:16.605769,-0.0027225343954024,-0.0241736899533451,-9.79032712160479,-0.0272659928801446,-0.0416513406059639,0.0311096526335574,16.605769,0.026179076682403164,0.058703313611709496,0.000685344055943145,0.0034460790289947175,0.004049066047794992,0
2025-11-22T17:45:16.615385,-0.0032034468049187,-0.0247284162221272,-9.79166871065244,-0.0244985029306272,-0.0412307516231746,0.0312302197946308,16.615385,0.026290055581521556,0.057231793206877705,0.0006911670224794928,0.003275478153674813,0.003998490327901295,0
2025-11-22T17:45:16.625,-0.0036739584620315,-0.0253333349077888,-9.793093669288044,-0.0216299427218731,-0.0408815575718761,0.0310504641068248,16.625,0.026513642379609688,0.055707158363206305,0.0007029732322338349,0.0031032874929033463,0.0039445417157530725,0
2025-11-22T17:45:16.634615,-0.0041260833726262,-0.0259690859567847,-9.794559851445934,-0.0187052791576828,-0.0405980235978415,0.0305724776478446,16.634615,0.026851689066407933,0.05415499402590398,0.0007210132057190513,0.0029327633779456957,0.0038875858563788904,0
2025-11-22T17:45:16.644231,-0.0045525166694214,-0.0266168959299484,-9.796024015914147,-0.0157749370886712,-0.0403736757368055,0.0298088340163283,16.644231,0.027294560015175592,0.052606548243210774,0.0007449930064220222,0.0027674489180652627,0.0038279417494260243,0
2025-11-22T17:45:16.653846,-0.0049465931706364,-0.027258859704982,-9.797443049069818,-0.0128939961520268,-0.0402011893573012,0.0287819831561819,16.653846,0.02782179387586359,0.05109592270340959,0.0007740522144710408,0.0026107933169128073,0.003765852656493749,0
2025-11-22T17:45:16.663462,-0.0053022734751161,-0.0278781201993449,-9.798775238237928,-0.0101210303623778,-0.0400721724404322,0.0275231720563483,16.663462,0.028404290718619912,0.04965621068643135,0.0008068037312278773,0.0024657392597352587,0.003701467868125504,0
2025-11-22T17:45:16.673077,-0.0056141583795535,-0.0284589916485191,-9.79998154804883,-0.0075166436871614,-0.0399768890071043,0.0260709524968852,16.673077,0.029007470079889637,0.04831507167645438,0.0008414333204356925,0.002334346151100924,0.003634837680826054,0
