loop,trig_cnt,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps,time_s,person_id,exercise_label,repetition_index
4944,0,-0.0944613080127738,0.1734945364586244,-9.544720366529594,0.0250193737442754,19.662572055199195,-5.532201607814043,49.44,athlete_01,deep-squat,17
4945,0,-0.0932250694768044,0.1644546983607005,-9.563079873681348,-1.0353044484365608,19.300352058674065,-4.832975578398871,49.45,athlete_01,deep-squat,17
4946,0,-0.0979285037424127,0.1605449895776011,-9.58442771394717,-2.064643150145277,18.46700764731524,-4.029027192411816,49.46,athlete_01,deep-squat,17
4947,0,-0.0953685585687269,0.1527600935822688,-9.6025750942889,-3.116063877964822,17.548201333082794,-3.495994800384593,49.47,athlete_01,deep-squat,17
4948,0,-0.0997675560677217,0.1511105763678377,-9.62978815079818,-4.132981302710117,16.831569612893016,-2.6483923607839235,49.48,athlete_01,deep-squat,17
4949,0,-0.0999593860862754,0.1476273748349349,-9.686739195244009,-5.83289061208886,16.65384978425708,-2.2577292627413588,49.49,athlete_01,deep-squat,17
4950,0,-0.0998830345352305,0.1423209320354496,-9.718828038752005,-6.5551158063037915,15.256237636575635,-1.6971880610660208,49.5,athlete_01,deep-squat,17
4951,0,-0.0964040265041278,0.1405684197765763,-9.762449279194746,-7.569250143982898,14.879639404354204,-1.5165162466939448,49.51,athlete_01,deep-squat,17
4952,0,-0.1036656223925229,0.141761693086218,-9.780259214667446,-9.30289070461522,14.403755503422548,-0.8842753329489742,49.52,athlete_01,deep-squat,17
4953,0,-0.1065759953025545,0.1388686959360381,-9.815168928770737,-10.34099413912904,13.48554017304545,0.0511138276193744,49.53,athlete_01,deep-squat,17
4954,0,-0.11250079065548,0.135464832817732,-9.848979047991088,-10.887982373556197,12.688360789247596,0.7048077188460324,49.54,athlete_01,deep-squat,17
4955,0,-0.117955887486372,0.1350262027785352,-9.878325940346144,-11.24485599183542,11.972530040764648,1.4971204015297428,49.55,athlete_01,deep-squat,17
4956,0,-0.1257955569746565,0.1221204110290149,-9.911025157881191,-12.35381233290703,11.392024984353494,2.220990359778794,49.56,athlete_01,deep-squat,17
4957,0,-0.1235016697652969,0.1194213567149951,-9.937544933239804,-13.961813455820394,11.055029605828272,2.3693491867438676,49.57,athlete_01,deep-squat,17
4958,0,-0.1315718424649378,0.1112524470516979,-9.978353212555774,-14.564827304522815,10.625314778328717,3.0682260026677595,49.58,athlete_01,deep-squat,17
4959,0,-0.13950810183426,0.106152771486697,-10.017813620472529,-15.152521446276152,9.4298171476245,3.589730291565623,49.59,athlete_01,deep-squat,17
4960,0,-0.1410074443965308,0.1035870249334392,-10.079061606233712,-16.261278065928707,8.834233053174035,4.136972846437634,49.6,athlete_01,deep-squat,17
4961,0,-0.1444815567910641,0.1053519784548382,-10.114214586983891,-17.511858582157014,8.241136132657083,4.7207451248889845,49.61,athlete_01,deep-squat,17
4962,0,-0.1340511179627802,0.0845439647478432,-10.13989779853699,-18.613561307829187,7.538779762488433,5.5451470788021275,49.62,athlete_01,deep-squat,17
4963,0,-0.1362669111685729,0.0849948350988557,-10.163397649893556,-19.45126292758751,6.979483929479959,6.019073941799298,49.63,athlete_01,deep-squat,17
4964,0,-0.1291222291623146,0.0755891680567029,-10.202629892670227,-20.27641604646358,5.823540909917796,6.223201572152632,49.64,athlete_01,deep-squat,17
4965,0,-0.1414259715642028,0.0734426330707337,-10.227212172632072,-21.520628561022622,4.78373978315056,6.619768443421488,49.65,athlete_01,deep-squat,17
4966,0,-0.1479245099286185,0.0742834850432642,-10.241626803832403,-22.841917304494725,4.262805457875462,7.585617372653672,49.66,athlete_01,deep-squat,17
4967,0,-0.1434076408435984,0.0620453126418661,-10.261866152450237,-23.398321246256373,4.055020395512969,7.868121484169485,49.67,athlete_01,deep-squat,17
4968,0,-0.1499153424436607,0.0557257601964211,-10.297245150756948,-24.0781877394174,2.763685771606993,8.487778968117077,49.68,athlete_01,deep-squat,17
4969,0,-0.155508004326402,0.0540772789091795,-10.338830314050607,-24.90529758665215,1.8796244826557271,9.011919349279284,49.69,athlete_01,deep-squat,17
4970,0,-0.1544183804669268,0.0468631823970257,-10.382398417977589,-26.15006434577677,1.1341975669538829,9.54364731559932,49.7,athlete_01,deep-squat,17
4971,0,-0.159902740337636,0.035963802797617,-10.426473776488576,-26.461284734589487,-0.1388508937306292,9.961421970734497,49.71,athlete_01,deep-squat,17
4972,0,-0.1645039367946347,0.032592186858466,-10.456297652909372,-27.335812300453235,-0.7126812490607263,10.49281463026367,49.72,athlete_01,deep-squat,17
4973,0,-0.1613570026127228,0.0232397454865026,-10.501207504025844,-28.289210207428475,-1.0255686070143502,10.876512320122028,49.73,athlete_01,deep-squat,17
4974,0,-0.1644248233387285,0.020765564065422,-10.544991431210793,-29.497610955181923,-1.0980056693439069,11.251998946605406,49.74,athlete_01,deep-squat,17
4975,0,-0.1651408419555955,0.017180766153466,-10.57675940351514,-30.04985920967407,-1.5950592650943445,11.46956517763508,49.75,athlete_01,deep-squat,17
4976,0,-0.1612655230852992,0.007350549964074,-10.627977556267744,-31.112879935981315,-2.0150040937790377,11.98956838439869,49.76,athlete_01,deep-squat,17
4977,0,-0.1582377383009505,0.0043813277739447,-10.661331404297757,-32.27170028044931,-2.80694232322013,12.431011839739352,49.77,athlete_01,deep-squat,17
4978,0,-0.1581761240983071,-0.0033022888068556,-10.693694635522649,-32.36981646969241,-4.110795723993811,12.578894589034178,49.78,athlete_01,deep-squat,17
4979,0,-0.1530827412254611,-0.0057210007539834,-10.731311572074851,-34.176867600916786,-4.975461942859366,13.119590729782828,49.79,athlete_01,deep-squat,17
4980,0,-0.1608657891164771,-0.0140590774760554,-10.78025338164882,-34.84499725584329,-5.3720048197857375,13.460330768996466,49.8,athlete_01,deep-squat,17
4981,0,-0.1698386133607101,-0.0221537756035262,-10.814734187174848,-35.383512557192624,-6.374083737512423,13.564734046429802,49.81,athlete_01,deep-squat,17
4982,0,-0.1639342314236649,-0.0266184619552774,-10.835217999691654,-35.75568340331108,-6.628674006033991,13.926632247636803,49.82,athlete_01,deep-squat,17
4983,0,-0.1666967213762112,-0.0256865064638969,-10.88024251537465,-35.96144392323117,-7.248653614363531,13.925135212103187,49.83,athlete_01,deep-squat,17
