loop,trig_cnt,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps,time_s,person_id,exercise_label,repetition_index
1647,0,-0.105023056427255,0.1583220603790636,-9.591383448387344,-3.451400322215336,17.31870321315276,-3.764771516787573,16.47,athlete_01,deep-squat,6
1648,0,-0.0966887909511726,0.1504159454457596,-9.620693430212349,-4.873503857002694,16.802355576031946,-3.3493375109978927,16.48,athlete_01,deep-squat,6
1649,0,-0.1010853423252291,0.14721115734762,-9.65876725419978,-5.992297913173068,16.289559764390653,-2.887278741928143,16.49,athlete_01,deep-squat,6
1650,0,-0.1012561864047919,0.1416480190818905,-9.698054574731335,-7.007727437341824,16.046562934058976,-2.0846372426897144,16.5,athlete_01,deep-squat,6
1651,0,-0.1121031243074912,0.1356696714721706,-9.719888967913365,-8.0703517523467,15.24493881643397,-0.9844583096324908,16.51,athlete_01,deep-squat,6
1652,0,-0.1286068881372986,0.1301714338660756,-9.765649548384689,-8.893315388004302,14.874529493678162,-0.5815994804983227,16.52,athlete_01,deep-squat,6
1653,0,-0.1276059822836274,0.1313185657633638,-9.784637971617988,-10.041515507254031,14.120519225727584,0.2667810138940757,16.53,athlete_01,deep-squat,6
1654,0,-0.1267965387597085,0.1260548685640847,-9.81511347138325,-11.016466046901115,13.892518583804303,0.4813561448560906,16.54,athlete_01,deep-squat,6
1655,0,-0.1245334942866096,0.1325943103366601,-9.842644861967251,-11.716075128531347,12.75315785119416,1.0103452814340572,16.55,athlete_01,deep-squat,6
1656,0,-0.1294381131806455,0.124133044775963,-9.890397770667333,-12.299894672876434,12.257726612381983,1.7537689539980854,16.56,athlete_01,deep-squat,6
1657,0,-0.1372246580114419,0.1270727207506862,-9.947112239334809,-13.196501578665815,11.473349594110804,2.527002184393406,16.57,athlete_01,deep-squat,6
1658,0,-0.145138729153909,0.1252313297137787,-9.977096651563135,-14.20887985639878,10.46546292124876,3.1468794335931336,16.58,athlete_01,deep-squat,6
1659,0,-0.1413691005425066,0.1134431001398515,-9.999633376500936,-14.90622654600572,9.316220916689357,3.425749382627598,16.59,athlete_01,deep-squat,6
1660,0,-0.1382472282239621,0.1130550863267765,-9.99993139085351,-16.929634008643465,9.716058247470436,3.7598726399388815,16.6,athlete_01,deep-squat,6
1661,0,-0.1439422339034528,0.1101445439922768,-10.046312940884876,-17.773430941954697,8.729514925456465,4.507370479061739,16.61,athlete_01,deep-squat,6
1662,0,-0.1470948646521205,0.1015158825179893,-10.094611359303409,-18.651227326721944,7.9578226867418,5.393775425109112,16.62,athlete_01,deep-squat,6
1663,0,-0.1509210078718978,0.0939507057045287,-10.125829517183428,-19.760252675274135,7.141620918743972,6.070487754505781,16.63,athlete_01,deep-squat,6
1664,0,-0.1598782411015327,0.0920213452062251,-10.143486399140103,-20.89748071645788,6.635201876614707,6.6398747865033325,16.64,athlete_01,deep-squat,6
1665,0,-0.1571390657963384,0.0855162765705129,-10.194102845906764,-21.41665546113219,5.727386402479289,6.887680360249974,16.65,athlete_01,deep-squat,6
1666,0,-0.1524107372414526,0.0821010389578317,-10.222155530762908,-22.795858948647417,5.1201364936489675,7.670489886848467,16.66,athlete_01,deep-squat,6
1667,0,-0.1543708302321654,0.0777069188174925,-10.252512085420404,-24.62502228044368,4.162861366785343,8.021423527586412,16.67,athlete_01,deep-squat,6
1668,0,-0.1620348063481277,0.0765099787061387,-10.30664848574447,-25.41384841832428,3.262820155440137,8.625692409556608,16.68,athlete_01,deep-squat,6
1669,0,-0.1624448357804989,0.0657547993063452,-10.359733894813182,-26.091286766131017,2.0616603642434934,9.123210555596552,16.69,athlete_01,deep-squat,6
1670,0,-0.1557118283353619,0.0538677268395716,-10.375749797711872,-27.768931370204665,1.2379862226455929,9.597079213707234,16.7,athlete_01,deep-squat,6
1671,0,-0.1473515601489207,0.0541240614842559,-10.417656577369264,-28.409530294184663,0.5176479466045435,10.098580817083407,16.71,athlete_01,deep-squat,6
1672,0,-0.1503035438956433,0.0431408017044309,-10.428209381424042,-29.22954909343155,0.2328763010018001,10.409319153864072,16.72,athlete_01,deep-squat,6
