loop,trig_cnt,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps,time_s,person_id,exercise_label,repetition_index
3743,0,-0.091608835238052,0.1681603419975284,-9.477377758551665,1.2052646366201958,20.069817068059795,-6.184588723506184,37.43,athlete_01,deep-squat,13
3744,0,-0.0871817739015395,0.1655425836420118,-9.503698494705615,-0.252311394451971,19.391741516478508,-5.493362238307655,37.44,athlete_01,deep-squat,13
3745,0,-0.0919266357262347,0.1563263100335336,-9.527769526402473,-1.1566047737114853,18.712933386366345,-4.864351945887362,37.45,athlete_01,deep-squat,13
3746,0,-0.0936104028343997,0.150126047766211,-9.558495664570064,-1.9307761077510683,18.557624270367853,-4.400943833884085,37.46,athlete_01,deep-squat,13
3747,0,-0.098475121034404,0.1496919084292762,-9.608880401434096,-3.0961953467568133,18.21823609971771,-4.032505533765371,37.47,athlete_01,deep-squat,13
3748,0,-0.1103693842610052,0.1431125974117058,-9.641992121510691,-4.566233434869652,17.541556873811484,-3.3995571810692384,37.48,athlete_01,deep-squat,13
3749,0,-0.1067143465088523,0.1353665224366885,-9.651981815722928,-5.868860206338361,16.778558680551196,-3.0212641420245023,37.49,athlete_01,deep-squat,13
3750,0,-0.1063547216090977,0.1426155687931947,-9.7025085164436,-6.93261460006229,16.15153580416649,-2.516326484133129,37.5,athlete_01,deep-squat,13
3751,0,-0.1044291822242697,0.1298390195031996,-9.737461427762591,-8.335398897959452,14.848737093410689,-1.8147684810684512,37.51,athlete_01,deep-squat,13
3752,0,-0.1143191750602395,0.1282925536612813,-9.775100646303134,-9.203169711400296,14.258663280924653,-1.086798958557451,37.52,athlete_01,deep-squat,13
3753,0,-0.1167027727874469,0.1223609334723241,-9.818128401477388,-10.091544672485234,13.66506906693716,-0.1585447893859848,37.53,athlete_01,deep-squat,13
3754,0,-0.1106611338919361,0.1211582524842602,-9.85141989257579,-11.164248300996476,12.833946212382,0.7973242735864323,37.54,athlete_01,deep-squat,13
3755,0,-0.1051577655393599,0.1273765486266352,-9.887333484959356,-11.724333485780788,12.37441697918156,1.4706589996932975,37.55,athlete_01,deep-squat,13
3756,0,-0.1116869524801247,0.1233564312012377,-9.931577362800514,-13.262787805598531,12.058742637552117,2.0480684944441525,37.56,athlete_01,deep-squat,13
3757,0,-0.1161245830819793,0.1199746246342702,-9.955445466447392,-14.220755170644455,11.462131675205509,2.885859237935227,37.57,athlete_01,deep-squat,13
3758,0,-0.1260204565206083,0.1188308255531822,-9.982015370057985,-14.969323381145642,10.785802530557351,3.493557225964102,37.58,athlete_01,deep-squat,13
3759,0,-0.1304524683118013,0.1131075982654906,-9.998214994350928,-16.5353553672929,9.911156089868204,4.259107570291581,37.59,athlete_01,deep-squat,13
3760,0,-0.1369948744542596,0.1144827514532357,-10.028241778273,-16.878602008151933,9.09212068022864,4.569311195060395,37.6,athlete_01,deep-squat,13
3761,0,-0.133802295245555,0.1105472117978324,-10.073459027009957,-18.32305699031157,8.187066603030656,4.96764239878612,37.61,athlete_01,deep-squat,13
3762,0,-0.1387813085183357,0.1062950503296673,-10.110078045122938,-18.958266220944235,7.126028662110329,5.54798192252075,37.62,athlete_01,deep-squat,13
