Timestamp,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyro_X,Gyro_Y,Gyro_Z
2025-12-23T16:10:21.032086,9.791430,-2.067398,1.172483,-0.085521,-0.021991,0.009773
2025-12-23T16:10:21.042086,9.824929,-2.009970,1.205982,-0.061086,-0.015882,0.010995
2025-12-23T16:10:21.051086,9.839286,-2.029113,1.191625,-0.036651,-0.006108,0.015882
2025-12-23T16:10:21.061086,9.762716,-2.005185,1.215553,-0.020769,-0.002443,0.021991
2025-12-23T16:10:21.070086,9.748359,-1.986042,1.282552,-0.014660,-0.002443,0.023212
2025-12-23T16:10:21.080086,9.705288,-1.942971,1.253839,-0.013439,-0.007330,0.025656
2025-12-23T16:10:21.090086,9.695717,-1.909472,1.182054,-0.010995,-0.002443,0.025656
2025-12-23T16:10:21.099086,9.662217,-1.890329,1.272981,-0.012217,-0.003665,0.019547
2025-12-23T16:10:21.109086,9.633503,-1.928615,1.234696,-0.023212,-0.006108,0.018325
2025-12-23T16:10:21.119086,9.619146,-1.842473,1.234696,-0.039095,-0.012217,0.012217
2025-12-23T16:10:21.128086,9.753144,-1.832902,1.201196,-0.052534,-0.025656,0.009773
2025-12-23T16:10:21.138086,9.815358,-1.852044,1.182054,-0.069638,-0.036651,0.012217
2025-12-23T16:10:21.147086,9.906285,-1.933400,1.263410,-0.078190,-0.031764,0.018325
2025-12-23T16:10:21.157086,9.834500,-1.990828,1.287338,-0.081855,-0.007330,0.035430
2025-12-23T16:10:21.167086,9.824929,-1.986042,1.196411,-0.090408,0.015882,0.053756
2025-12-23T16:10:21.176086,9.643075,-2.019542,1.196411,-0.092851,0.013439,0.063529
2025-12-23T16:10:21.186086,9.686145,-2.048256,1.162911,-0.085521,-0.008552,0.073303
2025-12-23T16:10:21.195086,9.734002,-2.067398,1.215553,-0.067195,-0.023212,0.068416
2025-12-23T16:10:21.205086,9.781858,-2.096112,1.316052,-0.031764,-0.020769,0.058643
2025-12-23T16:10:21.215086,9.767501,-2.091326,1.239482,0.013439,-0.001221,0.043982
2025-12-23T16:10:21.224086,9.643075,-1.938186,1.339980,0.048869,0.018325,0.026878
2025-12-23T16:10:21.234086,9.590432,-1.832902,1.272981,0.063529,0.013439,0.012217
2025-12-23T16:10:21.244086,9.576076,-1.770688,1.158126,0.041538,0.001221,0.008552
2025-12-23T16:10:21.253086,9.623932,-1.775474,1.186840,0.003665,-0.015882,0.003665
2025-12-23T16:10:21.263086,9.667003,-1.828116,1.196411,-0.046425,-0.023212,0.012217
2025-12-23T16:10:21.272086,9.772287,-1.895115,1.268195,-0.083077,-0.015882,0.014660
2025-12-23T16:10:21.282086,9.710074,-1.986042,1.220339,-0.103847,-0.001221,0.025656
2025-12-23T16:10:21.292086,9.600004,-2.024327,1.172483,-0.108733,0.006108,0.036651
2025-12-23T16:10:21.301086,9.576076,-2.191825,1.162911,-0.096516,0.004886,0.046425
