loop,trig_cnt,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
164,35970,-7.164942,0.242480,0.992812,38.721813,62.958367,15.172824
165,36188,-7.413011,-0.196063,-0.686971,36.033970,11.271801,20.275119
166,36406,-8.089912,-0.457478,-0.982018,25.700055,-38.957884,25.190756
167,36624,-9.051358,-0.690213,-1.639390,18.154310,-89.976594,26.112050
168,36842,-9.084684,-0.798920,-1.135862,-1.491572,-119.659541,26.979152
169,37060,-9.480616,-1.053856,0.045679,-8.970238,-117.952946,31.206103
170,37278,-9.698955,-1.233733,0.669461,-26.139409,-107.633040,32.611504
171,37496,-9.711461,-1.359380,0.742841,-32.433966,-90.262317,22.216367
172,37714,-10.493799,-1.012157,0.521150,-38.560714,-60.782214,9.974056
173,37932,-11.100500,-0.309161,-0.735059,-43.302446,-31.675351,-13.137384
174,38150,-11.756653,0.134711,-1.338649,-33.122502,-1.614145,-27.218803
175,38368,-12.150107,0.350656,-1.986786,-27.211424,27.052631,-39.949817
176,38586,-12.307831,0.630463,-1.329840,-18.086429,56.358029,-45.262575
177,38804,-11.340985,0.788907,0.069912,-0.207693,80.016619,-43.407459
178,39022,-10.623135,1.293547,1.056298,12.049449,107.953187,-30.130284
179,39240,-9.169478,1.130682,2.054911,20.804993,123.945143,-16.404172
180,39458,-8.017757,1.372564,2.344712,37.010853,120.112461,0.761875
181,39676,-7.397072,1.017509,1.734822,40.486024,100.249545,10.520141
182,39894,-7.029051,0.251291,0.877036,42.297208,58.502134,14.060851
183,40112,-7.594965,-0.351094,-0.691824,36.233649,-2.472163,24.373558
184,40330,-8.077035,-0.758214,-1.521006,18.254204,-56.250816,21.149147
185,40548,-8.832262,-0.652908,-1.552241,12.161679,-88.624139,28.697147
186,40766,-9.409452,-0.611342,-1.198048,-2.276285,-113.448521,20.972528
187,40984,-9.454446,-1.155740,-0.045294,-14.168920,-116.554558,26.674807
188,41202,-9.769689,-1.269862,0.555467,-28.220465,-111.550861,27.092123
189,41420,-9.929216,-1.430990,0.552140,-33.755660,-87.102972,18.286170
190,41638,-10.561850,-0.979019,-0.104158,-38.117651,-62.320634,8.560434
191,41856,-11.189830,-0.369485,-0.797725,-38.820705,-23.573711,-8.804347
192,42074,-11.924893,0.244090,-1.720812,-37.330226,-2.726885,-28.262067
193,42292,-12.236043,0.516433,-1.887746,-24.194208,26.941193,-44.072416
194,42510,-12.124473,0.597535,-1.318135,-10.514790,63.211124,-44.471728
195,42728,-11.365664,0.804891,0.111011,3.511574,96.550286,-39.118852
196,42946,-10.152092,1.142593,1.379609,11.184154,117.227382,-31.982267
197,43164,-8.629214,1.433050,2.375041,26.668546,134.166869,-15.008887
198,43382,-7.953572,1.260220,2.365807,32.193065,120.765472,2.318111
199,43600,-7.264939,1.026049,1.388697,35.764854,95.456388,11.617616
200,43818,-7.024788,0.132588,0.211867,37.189274,45.419768,19.799109
201,44036,-7.583818,-0.267169,-0.675460,36.984388,-1.525763,23.505105
202,44254,-8.061472,-0.624816,-1.532069,18.959651,-58.167738,21.057680
203,44472,-8.764146,-0.575272,-1.691296,9.000030,-102.709341,23.874084
204,44690,-9.266943,-0.884168,-0.746121,-6.907872,-133.678711,30.172552
205,44908,-9.769016,-1.136092,-0.185883,-19.727236,-126.021845,27.834053
206,45126,-9.646315,-1.312788,0.599387,-24.986454,-102.618138,27.282083
207,45344,-10.180822,-1.199179,0.946352,-33.696613,-73.345158,19.982570
208,45562,-10.519301,-0.929898,-0.287455,-39.873645,-60.925451,0.945626
209,45780,-11.191532,-0.214422,-0.876227,-42.958307,-25.742630,-11.755071
210,45998,-11.914649,0.399063,-1.323475,-29.426439,0.643913,-27.254778
211,46216,-12.345828,0.578012,-1.693234,-20.427635,27.952177,-40.665026
212,46434,-11.955509,0.713732,-0.998776,-8.068934,59.694887,-40.929071
213,46652,-11.187849,0.646098,0.395344,3.383884,90.424580,-40.185880
214,46870,-10.066593,0.960613,1.951102,13.037552,112.093507,-21.768247
215,47088,-8.629725,1.439688,2.706658,27.050105,120.632578,-7.479342
216,47306,-7.535103,1.247040,2.104342,39.838876,120.389728,-0.466620
217,47524,-6.982668,0.630875,1.411330,36.460347,84.979382,10.847689
218,47742,-7.215258,0.174641,0.289013,40.544826,46.835155,17.665151
219,47960,-7.586540,-0.341221,-0.590789,35.447291,-7.134849,24.499383
220,48178,-8.117201,-0.764009,-1.341417,23.467317,-66.232708,21.791131
221,48396,-8.967898,-0.596132,-1.187464,5.616439,-104.292183,24.127271
222,48614,-9.484395,-0.765308,-0.699128,-5.824838,-128.143569,29.167413
223,48832,-9.605967,-1.238473,0.037060,-17.881300,-120.637841,25.789026
224,49050,-9.757139,-1.458087,1.229852,-31.518894,-108.890456,25.744360
225,49268,-10.317639,-1.173374,0.890824,-37.704678,-77.197054,13.891101
226,49486,-10.737254,-0.584990,-0.012026,-42.622873,-40.594008,3.805200
227,49704,-11.346971,-0.123445,-1.093282,-40.774688,-16.850254,-18.295807
228,49922,-12.350606,0.510945,-1.677156,-28.927129,8.376452,-32.619623
229,50140,-12.090406,0.629346,-1.578470,-12.352738,36.929645,-42.404404
230,50358,-11.694321,0.563108,-1.006170,-13.430232,70.184013,-42.086113
231,50576,-10.976046,0.688624,0.712146,8.438853,95.535085,-36.363172
232,50794,-9.739488,1.190131,1.896335,14.975967,116.968089,-26.718091
233,51012,-8.448002,1.434746,2.431661,30.277511,118.146543,-5.314107
234,51230,-7.610339,1.243217,2.502810,34.669629,120.572648,5.684634
235,51448,-7.064388,0.736197,1.090159,41.747232,82.703304,17.473969
236,51666,-7.201031,-0.022393,0.118087,37.915600,27.858521,18.702877
237,51884,-7.499202,-0.449231,-1.233001,33.702595,-31.261092,15.358736
238,52102,-8.374059,-0.576861,-1.495511,18.471037,-73.848888,19.483946
239,52320,-8.946729,-0.811759,-1.308007,8.937243,-118.168292,24.628657
240,52538,-9.269542,-0.689387,-0.809568,-4.823566,-131.443867,24.550889
241,52756,-9.395498,-1.110205,0.144390,-18.466069,-117.757257,29.264541
242,52974,-9.532640,-1.325119,0.104881,-30.930378,-105.176072,23.539111
243,53192,-10.247087,-1.267421,0.239315,-33.222896,-70.883404,11.559269
244,53410,-10.728778,-0.564883,-0.067734,-43.160325,-40.187511,-3.964336
245,53628,-11.343276,0.009196,-1.677871,-37.668993,-24.044079,-20.481440
246,53846,-12.086193,0.419721,-2.049255,-34.274247,8.874635,-35.778142
247,54064,-12.057151,0.669720,-1.654181,-16.467870,35.136435,-41.566453
248,54282,-11.889157,0.681305,-0.501522,-9.204551,75.765173,-43.404641
249,54500,-10.564089,0.834999,0.960961,8.777167,93.836312,-30.740365
250,54718,-9.809062,0.976800,2.081457,23.206860,120.260128,-21.704961
251,54936,-8.136589,1.458723,2.350252,32.908057,119.372724,-7.484146
252,55154,-7.594798,0.952187,1.950292,41.330510,105.737711,5.232407
253,55372,-7.223720,0.670295,1.164024,41.470832,75.749380,11.782327
254,55590,-7.368627,0.014204,-0.149123,39.755752,10.122353,23.065237
255,55808,-7.857563,-0.260870,-1.274578,30.364609,-26.546361,19.361307
256,56026,-8.338364,-0.666776,-1.287998,21.796423,-76.900385,21.829234
257,56244,-9.082479,-0.636011,-1.596753,4.519373,-108.270471,22.778521
258,56462,-9.238422,-0.950171,-0.318611,-11.267145,-123.388511,30.192546
259,56680,-9.494635,-1.086812,0.647006,-20.237459,-125.088037,32.376476
260,56898,-10.107857,-1.431051,0.856287,-30.017065,-89.916909,23.002049
261,57116,-10.573847,-1.167557,0.405528,-39.041978,-62.578443,10.846965
262,57334,-11.141941,-0.488057,-0.683766,-34.877866,-38.522083,-8.853484
263,57552,-11.448745,0.346149,-1.733516,-34.357176,-8.655658,-21.735267
264,57770,-12.079991,0.544067,-1.911608,-25.380449,10.405721,-30.868526
265,57988,-12.002230,0.486779,-1.468801,-14.272264,43.747702,-44.633211
266,58206,-11.820109,0.792013,-0.573347,-5.208992,78.672292,-43.239338
267,58424,-10.887271,0.775796,0.596852,5.268056,94.635619,-35.253085
268,58642,-9.414141,1.248962,1.874927,18.661197,116.888726,-22.902955
269,58860,-8.398112,1.456013,2.212161,32.014166,121.743733,3.504545
270,59078,-7.615114,1.125246,2.009649,35.979389,109.012835,8.828231
271,59296,-7.202631,0.528181,1.059960,43.859649,66.787470,20.553292
272,59514,-7.314161,-0.345071,-0.209111,36.432063,13.616427,22.939932
